,rank,name,q,country
1314,1315,Coca-Cola HBC,Q58206787,Czech Republic
1315,1316,Tenet Healthcare,Q3518066,United States of America
1316,1317,Metro,Q5503,
1317,1318,Bluescope Steel,Q885589,Australia
1318,1319,Hyundai Heavy Industries,Q483231,South Korea
1319,1320,Techtronic Industries,Q2399612,Germany
1320,1321,Fukuoka Financial Group,Q5507690,Japan
1321,1322,Tractor Supply,Q15109925,United States of America
1322,1323,National Oilwell Varco,Q1817417,United States of America
1323,1324,Shanxi Taigang Stainless,Q56087556,People's Republic of China
1324,1325,Shinsei Bank,Q571997,Japan
1325,1326,Lotte Shopping,Q12594197,
1326,1327,Alrosa,Q294508,
1327,1328,Fidelity National Financial,Q5446791,
1328,1329,RTL Group,Q921159,
1329,1330,Manpower,Q1472539,United States of America
1330,1331,Navient,Q19903490,United States of America
1331,1332,Banco BPM,Q27331643,Italy
1332,1333,Chow Tai Fook Jewellery,Q48880993,Cayman Islands
1333,1334,Bank of India,Q2004439,
1334,1335,Liberty Expedia Holdings,,
1335,1336,Shenzhou International Group Holdings,,
1336,1337,Bunzl,Q872718,United Kingdom
1337,1338,US Foods,Q1668265,
1338,1339,Chugoku Electric Power,Q73171,Japan
1339,1340,Contemporary Amperex Technology,Q18653563,People's Republic of China
1340,1341,Emera,Q5370387,Canada
1341,1342,KION Group,Q1742326,Germany
1342,1343,Daishi Hokuetsu Financial Group,,
1343,1344,RHB Bank,Q4207443,Malaysia
1344,1345,Nordstrom,Q174310,
1345,1346,Yamato Holdings,Q3571463,
1346,1347,Chesapeake Energy,Q2962826,
1347,1348,NARI Technology Development,,
1348,1349,Santos,Q81882,Brazil
1349,1350,Eisai,Q366128,
1350,1351,Electric Power Development,Q3805077,Japan
1351,1352,Targa Resources,Q7685824,
1352,1353,Keppel,Q5355562,Australia
1353,1354,Advance Auto Parts,Q4686051,United States of America
1354,1355,Bank of Chongqing,Q15122856,
1355,1356,Popular,Q838367,
1356,1357,Zhongsheng Group Holdings,Q406456,
1357,1358,IHS Markit,Q1662481,United States of America
1358,1359,Campbell Soup,Q1030544,
1359,1360,Microchip Technology,Q1545076,United States of America
1360,1361,Coloplast,Q669141,Denmark
1361,1362,STRABAG,Q681316,Austria
1362,1363,Chiba Bank,Q1071712,Japan
1363,1364,Colruyt,Q2363991,
1364,1365,Brambles,Q26424037,United Kingdom
1365,1366,Hydro One,Q3143709,Canada
1366,1367,Verisk Analytics,Q7921370,United States of America
1367,1368,Oji Holdings,Q11572978,Japan
1368,1369,Greentown China Holdings,,
1369,1370,Magnit,Q940518,Russia
1370,1371,Osaka Gas,Q385775,Japan
1371,1372,Segro,Q2205753,
1372,1373,Alleghany,Q4731258,United States of America
1373,1374,Olam International,Q5950695,
1374,1375,Bohai Leasing,Q17038681,People's Republic of China
1375,1376,Jones Lang LaSalle,Q1703389,United States of America
1376,1377,Smith & Nephew,Q1639825,
1377,1378,J.B. Hunt Transport Services,Q4041705,United States of America
1378,1379,Medipal Holdings,Q11343877,
1379,1380,360 Security Technology,,
1380,1381,Coty,Q1104787,
1381,1382,VeriSign,Q734338,United States of America
1382,1383,St. James's Place,Q7588412,
1383,1384,Barratt Developments,Q591090,
1384,1385,BPER Banca,Q806167,Italy
1385,1386,Maxim Integrated Products,Q1784671,United States of America
1386,1387,Meritz Financial Group,,
1387,1388,Red Eléctrica,Q1551220,Spain
1388,1389,NEXON,Q175770,France
1389,1390,Packaging Corp of America,,
1390,1391,Shanghai International Airport,Q7488459,
1391,1392,Materials Industry Zhongda Group,,
1392,1393,Hainan Airlines,Q292428,People's Republic of China
1393,1394,Cincinnati Financial,Q5120253,United States of America
1394,1395,Garmin,Q658789,United States of America
1395,1396,Canadian Tire,Q1032400,Canada
1396,1397,Nine Dragons Paper Holdings,,
1397,1398,Nippon Yusen,Q1478918,Japan
1398,1399,Kintetsu,Q1531085,Japan
1399,1400,Verbund,Q688816,Austria
1400,1401,Anta Sports Products,Q4653060,
1401,1402,IAC/InterActiveCorp,Q974846,United States of America
1402,1403,Global Payments,Q5570544,
1403,1404,Penske Automotive,Q1975799,United States of America
1404,1405,Showa Denko,Q905412,Japan
1405,1406,Shizuoka Bank,Q7499501,Japan
1406,1407,Persimmon,Q29526,
1407,1408,Alfresa Holdings,Q17192324,
1408,1409,Live Nation Entertainment,Q1061903,
1409,1410,XPO Logistics,Q8042415,United States of America
1410,1411,Lixil Group,Q11229276,
1411,1412,Bank of Zhengzhou,Q15925949,People's Republic of China
1412,1413,OMRON,Q501376,Japan
1413,1414,DCC,Q598944,
1414,1415,Sun Art Retail Group,Q15534494,
1415,1416,Beijing Capital Development,,
1416,1417,Advanced Micro Devices,Q128896,United States of America
1417,1418,Nitori Holdings,Q17212489,
1418,1419,Arca Continental,Q3052063,
1419,1420,Masraf Al Rayan,,
1420,1421,BNK Financial Group,,
1421,1422,Assurant,Q4810399,United States of America
1422,1423,NASDAQ,Q82059,United States of America
1423,1424,Bawag Group,,
1424,1425,Shanghai Commercial & Savings Bank,Q4207208,Taiwan
1425,1426,Iida Group Holdings,Q17192733,
1426,1427,Mirae Asset Daewoo,Q5208293,
1427,1428,Far East Horizon,Q15953507,
1428,1429,CSN,Q291090,People's Republic of China
1429,1430,Bank Of Gansu,,
1430,1431,People's United Financial,Q7165802,United States of America
1431,1432,E-mart,Q490371,South Korea
1432,1433,Kerry Properties,Q4042172,Hong Kong
1433,1434,ENN Energy Holdings,,
1434,1435,Next,Q728539,
1435,1436,Tech Data,Q1715931,
1436,1437,Wm Morrison Supermarkets,Q922344,United Kingdom
1437,1438,Hong Leong Financial,Q4206859,
1438,1439,Arab Bank,Q2629881,
1439,1440,Sekisui Chemical,Q11597149,Japan
1440,1441,Korea Investment Holdings,,
1441,1442,Flex,Q212794,
1442,1443,Naver,Q485639,South Korea
1443,1444,Orient Securities,Q24727812,People's Republic of China
1444,1445,Union Bank of India,Q2004078,India
1445,1446,Korean Air,Q213147,South Korea
1446,1447,Mebuki Financial Group,Q24870433,
1447,1448,Gudang Garam,Q1553005,
1448,1449,American Equity Investment,,
1449,1450,Spirit AeroSystems,Q3493556,United States of America
1450,1451,Ooredoo Q.P.S.C,,
1451,1452,Yonghui Superstores,,
1452,1453,Chongqing Rural Bank,,
1453,1454,First Horizon National,Q1419446,United States of America
1454,1455,Electrolux Group,Q505922,Sweden
1455,1456,Synopsys,Q2303478,United States of America
1456,1457,Mitsubishi Materials,Q1423176,Japan
1457,1458,Church & Dwight,Q9592,
1458,1459,Xylem,Q122811,
1459,1460,Total System Services,Q7671766,
1460,1461,China Merchants Port Holdings,Q268784,People's Republic of China
1461,1462,Tapestry,Q184296,
1462,1463,Compal Electronics,Q705272,Taiwan
1463,1464,Red Hat,Q485593,United States of America
1464,1465,Proximus,Q2005282,Belgium
1465,1466,Waters,Q1175589,
1466,1467,Sistema,Q1781702,Russia
1467,1468,Mashreq Bank,Q1538829,
1468,1469,Pinnacle West,Q26110522,United States of America
1469,1470,Vornado Realty,Q368181,
1470,1471,Xiamen International Trade Group,,
1471,1472,Reliance Steel,Q7311031,
1472,1473,Abu Dhabi Islamic Bank,Q4670141,United Arab Emirates
1473,1474,AECOM Technology,Q2825507,Germany
1474,1475,Bank Audi,Q4855900,
1475,1476,Kawasaki Heavy Industries,Q748148,Japan
1476,1477,Toppan Printing,Q986752,Japan
1477,1478,Boliden,Q891347,Sweden
1478,1479,Cielo,Q3676581,
1479,1480,Lululemon Athletica,Q6702957,Canada
1480,1481,Empresas CMPC,Q1142823,Chile
1481,1482,Nitto Denko,Q763637,Japan
1482,1483,Huntsman,Q1714828,
1483,1484,Antofagasta,Q3612,Chile
1484,1485,Beijing Shougang,Q2627897,People's Republic of China
1485,1486,B3,Q796297,Brazil
1486,1487,Realty Income,Q7301386,United States of America
1487,1488,Bandai Namco Holdings,Q806259,Japan
1488,1489,Xinyu Iron & Steel,Q11081084,
1489,1490,Alliant Energy,Q4732492,United States of America
1490,1491,Sinotruk Hong Kong,,
1491,1492,Geberit,Q464905,Switzerland
1492,1493,KT&G,Q128822,
1493,1494,Spotify Technology,Q60269744,
1494,1495,Yandex NV,,
1495,1496,Alexion Pharmaceuticals,Q204727,United States of America
1496,1497,Micro Focus International,Q1931458,United Kingdom
1497,1498,Mitsui OSK Lines,,
1498,1499,Cattolica Assicurazioni,Q783179,Italy
1499,1500,Hyundai Engineering,Q16255907,South Korea
1500,1501,Chang Hwa Bank,Q5071627,Taiwan
1501,1502,China Communications Services,Q5099641,People's Republic of China
1502,1503,Bajaj Auto,Q10910065,
1503,1504,Kingfisher,Q1013136,United States of America
1504,1505,CIT Group,Q1023765,United States of America
1505,1506,Nippon Express,Q1993298,Japan
1506,1507,Dexus,Q34372165,
1507,1508,El Puerto de Liverpool,Q1143318,
1508,1509,Israel Discount Bank,Q250362,Israel
1509,1510,Maroc Telecom,Q59772114,Morocco
1510,1511,MSCI,Q950900,
1511,1512,Mettler-Toledo International,,
1512,1513,Taishin Financial Holdings,Q3461686,Taiwan
1513,1514,Xerox,Q152433,United States of America
1514,1515,Western Union,Q861042,United States of America
1515,1516,Hang Lung Group,Q4774435,Hong Kong
1516,1517,SEB SA,Q7442317,
1517,1518,Cencosud,Q1053372,Argentina
1518,1519,ICA Gruppen,Q1663776,Sweden
1519,1520,Jyske Bank,Q136672,Denmark
1520,1521,KPN,Q338633,Netherlands
1521,1522,Ceconomy,Q28858523,Germany
1522,1523,Halyk Bank,Q1046186,Kazakhstan
1523,1524,Kaisa Group Holdings,,
1524,1525,Jiangxi Bank,,
1525,1526,Finatis,Q1416676,
1526,1527,Zhongyuan Bank,Q15936363,People's Republic of China
1527,1528,Banca MPS,Q46730,Italy
1528,1529,Lindt & Sprungli,Q152822,Switzerland
1529,1530,Dangote Cement,Q5216192,
1530,1531,Epiroc,Q47498532,Sweden
1531,1532,Jefferies Financial,Q6533918,
1532,1533,Caesars Entertainment,Q892498,United States of America
1533,1534,Chemours,Q20630716,United States of America
1534,1535,Blom Bank,Q20391833,Lebanon
1535,1536,Daelim Industrial,Q488223,
1536,1537,HELLA,Q1602616,
1537,1538,Haseko,Q11654016,Japan
1538,1539,ON Semiconductor Corp.,,
1539,1540,AMP,Q25272,
1540,1541,Jabil Circuit,Q2171646,United States of America
1541,1542,Noble Energy,Q2659099,
1542,1543,Tech Mahindra,Q1131463,India
1543,1544,World Fuel Services,Q8035757,
1544,1545,AutoNation,Q784804,United States of America
1545,1546,CPFL Energia,Q1121216,Brazil
1546,1547,KWG Group Holdings,,
1547,1548,GS Engineering,Q30298019,United States of America
1548,1549,Pearson,Q2065931,
1549,1550,Starwood Property Trust,,
1550,1551,General Insurance Corporation Of India,Q5531960,India
1551,1552,Hokuhoku Financial Group,Q11277712,
1552,1553,Taylor Wimpey,Q746365,United Kingdom
1553,1554,Community Health Systems,Q5154770,United States of America
1554,1555,SG Holdings,Q11243007,
1555,1556,Vulcan Materials,Q1685287,United States of America
1556,1557,Samsung Electro-Mechanics,Q627018,
1557,1558,Guangzhou Baiyunshan Pharmaceutical Holdings,,
1558,1559,News Corp,Q14289857,United States of America
1559,1560,Tahoe Group,,
1560,1561,Qingdao Rural Commercial Bank,,
1561,1562,SBI Holdings,Q1113213,
1562,1563,Almarai,Q3535226,Saudi Arabia
1563,1564,Frontier Communications,Q2974454,United States of America
1564,1565,New York Community Bancorp,,
1565,1566,Xiamen Xiangyu,,
1566,1567,UGI,Q560739,
1567,1568,Mowi ASA,,
1568,1569,MTU Aero Engines AG,Q128929,Germany
1569,1570,NiSource,Q1984481,
1570,1571,LEG Immobilien AG,Q1802165,Germany
1571,1572,Hopson Development Holdings,Q25996,
1572,1573,ServiceNow,Q7455653,United States of America
1573,1574,IHI,Q1653679,Japan
1574,1575,Workday,Q8034666,United States of America
1575,1576,Alcoa,Q135325,United States of America
1576,1577,Old Dominion Freight Line,Q7083862,
1577,1578,Air Canada,Q185339,Canada
1578,1579,Wistron,Q441821,Taiwan
1579,1580,Citrix Systems,Q916196,United States of America
1580,1581,Tiffany & Co.,Q16913772,
1581,1582,EMS-Chemie Holding,Q1339621,
1582,1583,Banco Comercial Portugues,Q118581,Portugal
1583,1584,Avery Dennison,Q790650,United States of America
1584,1585,Hertz Global Holdings,Q1543874,United States of America
1585,1586,First Quantum Minerals,Q1419532,Canada
1586,1587,Symantec,Q677085,United States of America
1587,1588,Times Property Holdings,,
1588,1589,Nishi-nippon Financial Holdings,,
1589,1590,Kyushu Financial Group,Q22130448,
1590,1591,China Resources Gas Group,Q5099882,People's Republic of China
1591,1592,Pan Pacific International Holdings,,
1592,1593,Yamaguchi Financial,Q11044787,
1593,1594,NSK,Q631375,Croatia
1594,1595,Hachijuni Bank,Q11390608,Japan
1595,1596,Ajinomoto,Q412826,Japan
1596,1597,Olympus,Q688619,Japan
1597,1598,Kansas City Southern,Q16980898,
1598,1599,Gjensidige Forsikring,Q3108236,Norway
1599,1600,Renesas Electronics,Q1196269,Japan
1600,1601,Caltex Australia,,
1601,1602,Luzhou Lao Jiao,,
1602,1603,Match Group,Q23133268,
1603,1604,SS&C Technologies,Q958,South Sudan
1604,1605,Autodesk,Q628051,United States of America
1605,1606,Sun Pharma Industries,,
1606,1607,North Pacific Bank,Q11402354,Japan
1607,1608,Uniqa,Q43405950,
1608,1609,Pirelli,Q207770,Italy
1609,1610,Alexandria Real Estate Equities,Q48739877,
1610,1611,Banco Davivienda,Q5242054,Colombia
1611,1612,Csc Financial,Q27833474,People's Republic of China
1612,1613,PBF Energy,Q16979157,
1613,1614,Luxshare Precision Industry,,
1614,1615,Minebea,Q820239,Japan
1615,1616,Rajesh Exports,Q48731600,
1616,1617,Bank of Kyoto,Q11375713,Japan
1617,1618,Align Technology,Q30314832,
1618,1619,PGE Polska Grupa Energetyczna,Q787714,Poland
1619,1620,Hiroshima Bank,Q11064596,Japan
1620,1621,Zhejiang Longsheng Group,,
1621,1622,Fastighets Balder,,
1622,1623,INTL FCStone,Q1666331,
1623,1624,Latam Airlines,Q649178,Chile
1624,1625,BOK Financial,Q2162158,United States of America
1625,1626,Quilter,Q46984315,
1626,1627,Essex Property Trust,Q27964091,United States of America
1627,1628,Cullen/Frost Bankers,Q5506152,United States of America
1628,1629,Guangdong Investment,Q5613634,Hong Kong
1629,1630,China Resources Cement Holdings,,
1630,1631,Shimano,Q949610,Japan
1631,1632,Ares Capital,Q4789079,
1632,1633,77 Bank,,
1633,1634,Kangmei Pharmaceutical,Q52849282,People's Republic of China
1634,1635,Banque Cantonale Vaudoise,Q685533,Switzerland
1635,1636,Chugoku Bank,Q10874785,Japan
1636,1637,Tosoh,Q906991,Japan
1637,1638,Ultrapar Participacoes,Q1579222,Brazil
1638,1639,LG Uplus,Q626409,South Korea
1639,1640,Metropolitan Bank & Trust,Q6824995,
1640,1641,Newell Brands,Q667599,United States of America
1641,1642,Chongqing Changan Auto,Q29366,People's Republic of China
1642,1643,Petro Rabigh,Q7178875,Saudi Arabia
1643,1644,Tingyi Holding,,
1644,1645,SLM,Q669606,Switzerland
1645,1646,National Bank of Greece,Q1816028,Greece
1646,1647,Merlin Properties SOCIMI S.A,,
1647,1648,SYNNEX,Q7662493,
1648,1649,Copart,Q16951448,United States of America
1649,1650,Gunma Bank,Q11609920,Japan
1650,1651,Bank Muscat,Q806607,Oman
1651,1652,Toll Brothers,Q7814310,
1652,1653,Acciona,Q339142,Spain
1653,1654,GPT Group,Q3100507,
1654,1655,Shenzhen Mindray Bio-Medical Electronics,,
1655,1656,Mr. Cooper Group,,
1656,1657,"Burlington Stores,",Q4999220,
1657,1658,Piraeus Bank,Q3312,Greece
1658,1659,Yunnan Baiyao Group,Q8061323,People's Republic of China
1659,1660,Companhia Brasileira de Distribuicao,Q1541470,Brazil
1660,1661,Erdemir,Q934796,Turkey
1661,1662,Avis Budget Group,Q2874395,United States of America
1662,1663,Frasers Property Limited,,
1663,1664,Whitbread,Q1435702,United Kingdom
1664,1665,Invitation Homes,,
1665,1666,Alpha Bank,Q747394,Greece
1666,1667,Hyundai Glovis,Q5962598,
1667,1668,Novozymes,Q45576,Denmark
1668,1669,Mizrahi Tefahot Bank,Q2777129,Israel
1669,1670,Wärtsilä,Q327429,Finland
1670,1671,Foot Locker,Q63335,
1671,1672,Alaska Air Group,Q4033665,United States of America
1672,1673,Square,Q174782,
1673,1674,Iyo Bank,Q2895314,
1674,1675,Nippon Steel Trading,,
1675,1676,China Longyuan Power,Q130889,People's Republic of China
1676,1677,Eurobank Ergasias,Q951850,Greece
1677,1678,Ralph Lauren,Q296647,
1678,1679,Deutsche Pfandbriefbank,Q15857244,Germany
1679,1680,Safaricom,Q7398410,Kenya
1680,1681,New Hope Liuhe,,
1681,1682,Unicaja Banco,Q20908850,Spain
1682,1683,Rite Aid,Q3433273,
1683,1684,Far Eastern New Century,Q5434558,
1684,1685,Industrivarden,Q11977084,Sweden
1685,1686,W.P. Carey,,
1686,1687,Steel Authority of India,Q1371239,
1687,1688,Everbright Securities,Q5416931,People's Republic of China
1688,1689,Wayfair,Q3540193,United States of America
1689,1690,Jiangsu Zhongnan Construction Group,,
1690,1691,Mercuries & Associates,Q5367786,Taiwan
1691,1692,Snap-on,Q1631922,United States of America
1692,1693,Liuzhou Iron & Steel,,
1693,1694,Suzuken,Q11311754,Japan
1694,1695,China Aviation Oil,Q5099582,
1695,1696,China National Chemical,Q16739781,People's Republic of China
1696,1697,Nielsen,Q16511256,
1697,1698,Sterling Bancorp,Q17083240,United States of America
1698,1699,Pinduoduo,Q47015652,People's Republic of China
1699,1700,DGB Financial Group,Q31178959,South Korea
1700,1701,Commercial Bank of Qatar,,
1701,1702,Avnet,Q4829076,United States of America
1702,1703,Viva Energy Group,,
1703,1704,Kingboard Holdings,,
1704,1705,Moscow Exchange,Q2632892,Russia
1705,1706,Adani Ports & Special Economic Zone,Q16058076,
1706,1707,Great Eagle Holdings,Q4039682,
1707,1708,Cabot Oil & Gas,Q4035714,
1708,1709,BayWa,Q812055,Germany
1709,1710,Juroku Bank,Q11404883,Japan
1710,1711,Synovus Financial,Q3508889,
1711,1712,Hyakugo Bank,Q11580676,Japan
1712,1713,Fluor,Q1002150,
1713,1714,Cybg,Q23022218,United Kingdom
1714,1715,FinecoBank,Q3745690,Italy
1715,1716,Commercial Bank For Investment & Development Of Vietnam,,
1716,1717,Empire,Q71084,France
1717,1718,Hakuhodo DY Holdings,Q11408888,
1718,1719,Rexel,Q962489,
1719,1720,JG Summit Holdings,Q6108205,
1720,1721,Inner Mongolia Yitai Coal,Q10885038,People's Republic of China
1721,1722,Hengan International Group,,
1722,1723,ResMed,Q7314903,United States of America
1723,1724,Wendel,Q18180180,
1724,1725,Fuyao Glass Industry Group,Q1254961,People's Republic of China
1725,1726,Seiko Epson,Q159614,Japan
1726,1727,Shiga Bank,Q11564978,Japan
1727,1728,Banco de Chile,Q2882085,Chile
1728,1729,Banca Mediolanum,Q3633712,Italy
1729,1730,Hanwa,Q59815777,Nigeria
1730,1731,Atmos Energy,Q4817084,United States of America
1731,1732,IDBI Bank,Q3633485,
1732,1733,Arista Networks,Q2861324,United States of America
1733,1734,Burelle,Q36874827,
1734,1735,Martin Marietta Materials,Q6776123,
1735,1736,Metalurgica Gerdau,Q3307276,Brazil
1736,1737,Atlassian,Q757307,Australia
1737,1738,Shopify,Q7501150,Canada
1738,1739,Performance Food Group,Q2070689,United States of America
1739,1740,Toho Bank,Q3650497,Japan
1740,1741,First Citizens Bank,Q5452734,
1741,1742,Taiwan Business Bank,Q15913812,
1742,1743,WPG Holdings,,
1743,1744,Advanz Pharma,,
1744,1745,Tokyu Fudosan,Q17219597,
1745,1746,First Pacific,Q305393,
1746,1747,Ogaki Kyoritsu Bank,Q11433765,Japan
1747,1748,Vingroup,Q10831597,
1748,1749,Ansys,Q295774,United States of America
1749,1750,SinoPac Financial,,
1750,1751,San-In Godo Bank,Q11047543,Japan
1751,1752,Wirecard,Q587325,Germany
1752,1753,Nanto Bank,Q4045062,Japan
1753,1754,Universal Entertainment,Q2866046,Japan
1754,1755,Mirvac Group,Q3316188,
1755,1756,Grupo Bolivar,Q26207810,
1756,1757,Constellation Software,Q48801091,Canada
1757,1758,Albemarle,Q921689,United States of America
1758,1759,Bank of Xi'an,,
1759,1760,Adient,Q26832896,United States of America
1760,1761,Zain,Q144356,
1761,1762,IDEXX Laboratories,Q1758392,United States of America
1762,1763,Sansteel Minguang,,
1763,1764,RMB Holdings,Q22908349,
1764,1765,Bendigo & Adelaide Bank,Q497793,Australia
1765,1766,Aozora Bank,Q4778847,Japan
1766,1767,Red Star Macalline Group,Q22704472,People's Republic of China
1767,1768,Central Bank of India,Q2007090,
1768,1769,Founder Securities,Q11084898,People's Republic of China
1769,1770,Vietin Bank,,
1770,1771,Senshu Ikeda Holdings,Q11551995,
1771,1772,Syndicate Bank,Q2004088,India
1772,1773,Celltrion,Q30260343,South Korea
1773,1774,Inventec,Q6059838,Taiwan
1774,1775,Orient,Q19595,United Kingdom
1775,1776,Credito Emiliano,Q3696881,Italy
1776,1777,SDIC Capital,,
1777,1778,Indiabulls Housing Finance,Q30637022,
1778,1779,Tokyo Kiraboshi Financial Group,Q18337457,
1779,1780,Aareal Bank,Q301141,Germany
1780,1781,Sembcorp Industries,Q10901401,
1781,1782,China Zhongwang Holdings,,
1782,1783,PacWest Bancorp,Q17143144,United States of America
1783,1784,Palo Alto Networks,Q7128508,United States of America
1784,1785,NH Investment & Securities,Q12581611,
1785,1786,SBA Communications,Q7388926,United States of America
1786,1787,Hyatt Hotels,Q1425063,United States of America
1787,1788,Tenneco,Q1509038,United States of America
1788,1789,Core-Mark Holding,,
1789,1790,Vodafone Idea,,
1790,1791,MercadoLibre,Q950419,Argentina
1791,1792,Adyen,Q4686934,Netherlands
1792,1793,Hanesbrands,Q5647768,United States of America
1793,1794,Longi Green Energy Technology,,
1794,1795,Barry Callebaut,Q809018,
1795,1796,Axiata Group,Q792500,Malaysia
1796,1797,Banca Popolare di Sondrio,Q686176,Italy
1797,1798,Liberty Broadband,,
1798,1799,Suzano Papel e Celulose,Q1030695,Brazil
1799,1800,China Oriental Group,,
1800,1801,Sinotrans Ltd.,,
1801,1802,Berry Global Group,,
1802,1803,President Chain Store,Q4642867,
1803,1804,Juniper Networks,Q1049080,United States of America
1804,1805,Canadian Utilities,Q5030657,Canada
1805,1806,CSPC Pharmaceutical Group,,
1806,1807,Broadridge Financial,Q4972280,
1807,1808,Chipotle Mexican Grill,Q465751,United States of America
1808,1809,Navistar International,Q29739,
1809,1810,Bank of Qingdao,Q17062759,
1810,1811,China Railway Signal & Communication,Q20745675,People's Republic of China
1811,1812,Liberbank,Q2891018,Spain
1812,1813,Nuernberger Beteiligungs,,
1813,1814,Sofina,Q1142890,Belgium
1814,1815,Yes Bank,Q2040394,
1815,1816,Muyuan Foodstuff,,
1816,1817,Bank of Jiujiang,,
1817,1818,China Development Bank Financial Leasing,Q43301935,
1818,1819,United Utilities,Q503038,United Kingdom
1819,1820,JTEKT,Q6109069,Japan
1820,1821,Keiyo Bank,Q11374734,Japan
1821,1822,Basler Kantonalbank,Q63844805,Switzerland
1822,1823,Japan Securities,Q11509107,
1823,1824,Commercial International Bank,Q5152506,
1824,1825,Alfa Laval,Q686030,Sweden
1825,1826,China Merchants Expressway Network & Technology Holdings,,
1826,1827,Hyakujushi Bank,Q11580692,Japan
1827,1828,Commerce Bank,Q5152412,
1828,1829,Dali Foods Group,,
1829,1830,Financial Street Holdings,,
1830,1831,Hokkoku Bank,Q5878184,
1831,1832,Asian Paints,Q4806720,
1832,1833,Haidilao International Holding,,
1833,1834,Old Republic International,Q7084833,
1834,1835,Oshkosh,Q936741,United States of America
1835,1836,Cemig,Q1121202,Brazil
1836,1837,Credit Bank of Moscow,Q4304175,Russia
1837,1838,Fangda Carbon New Material,,
1838,1839,Yamada Denki,Q1096390,Japan
1839,1840,"Hengyi Petrochemical Co., Ltd.",,
1840,1841,Xinhu Zhongbao,,
1841,1842,Jaccs,Q11309831,
1842,1843,Zalando,Q136570,Germany
1843,1844,Informa plc,Q680946,United Kingdom
1844,1845,Garrett Motion,,
1845,1846,Medical Properties Trust,Q30693638,
1846,1847,Nanya Technology,Q10906621,
1847,1848,Sydney Airport,Q17581,Australia
1848,1849,Kiyo Bank,Q11605123,Japan
1849,1850,International Flavors & Fragrances,Q1666568,United States of America
1850,1851,JB Financial Group,,
1851,1852,Smurfit Kappa Group,Q1536176,
1852,1853,Fraport,Q643578,Germany
1853,1854,Piramal Enterprises,Q7197697,India
1854,1855,Banque Centrale Populaire,Q2883441,
1855,1856,FMC,Q60193455,
1856,1857,Konica Minolta Business Solutions,Q58197230,Czech Republic
1857,1858,Sonova Holding,Q689816,Switzerland
1858,1859,F.N.B.,Q25917465,Spain
1859,1860,Fibra Uno,,
1860,1861,Lotte,Q2352826,
1861,1862,Musashino Bank,Q11546449,Japan
1862,1863,Migdal Insurance,,
1863,1864,Chimera Investment,,
1864,1865,Sabesp,Q183184,
1865,1866,Shanghai Ganglian E-Commerce Holdings,,
1866,1867,EFG International,Q671877,Switzerland
1867,1868,Cleveland-cliffs,Q5133094,
1868,1869,Saudi Arabian Fertilizers,,
1869,1870,Splunk,Q1835753,
1870,1871,Lendlease Group,Q185651,
1871,1872,Murphy USA,Q19604459,United States of America
1872,1873,Yageo Corporation,,
1873,1874,Bureau Veritas,Q1974503,France
1874,1875,Saipem,Q2213203,Italy
1875,1876,"United Natural Foods,",,
1876,1877,Luzerner Kantonalbank,Q1756878,Switzerland
1877,1878,AU Optronics,Q300120,Taiwan
1878,1879,Marks & Spencer,Q16876462,
1879,1880,Dixons Carphone,Q16980420,United Kingdom
1880,1881,Shoprite Holdings,Q1857639,
1881,1882,Unisplendour,,
1882,1883,Veeva Systems,Q24204493,United States of America
1883,1884,Allahabad Bank,Q2018840,India
1884,1885,Credit Acceptance,Q15845093,
1885,1886,BBVA Banco Continental,,
1886,1887,Indian Bank,Q2003789,India
1887,1888,China Agri-Industries,Q1023973,People's Republic of China
1888,1889,Owens Corning,Q7114736,United States of America
1889,1890,LiveRamp Holdings,,
1890,1891,Royal Mail,Q638098,United Kingdom
1891,1892,Cadence Design,Q608776,United States of America
1892,1893,Makita,Q691508,Japan
1893,1894,Nanjing Iron & Steel,Q27888495,People's Republic of China
1894,1895,United Aircraft,Q7887331,United States of America
1895,1896,Extra Space Storage,Q5422162,United States of America
1896,1897,Ipsen,Q33123366,
1897,1898,Zebra Technologies,Q2443609,United States of America
1898,1899,H Lundbeck,,
1899,1900,Andhra Bank,Q2003476,
1900,1901,Bank of Queensland,Q4856173,Australia
1901,1902,Air Lease,Q4698062,United States of America
1902,1903,Ronshine China Holdings,Q22084972,
1903,1904,AmBank Group,Q4132947,Malaysia
1904,1905,Prysmian,Q1964784,Italy
1905,1906,VEON,Q36888460,
1906,1907,San ju San Financial Group,Q43305272,
1907,1908,Zhejiang Chint Electrics,Q5011165,People's Republic of China
1908,1909,Autoliv,Q787044,Sweden
1909,1910,Sensata Technologies Holding,,
1910,1911,CoStar Group,Q16988748,
1911,1912,EasyJet,Q191551,United Kingdom
1912,1913,Sears Holdings,Q966556,United States of America
1913,1914,Western Alliance Bancorp.,,
1914,1915,Meritz Securities,,
1915,1916,Cimarex Energy,Q16829606,
1916,1917,VICI Properties,Q54263910,
1917,1918,FIBI Holdings,,
1918,1919,Oriental Bank of Commerce,Q367008,
1919,1920,BJ's Wholesale Club,Q4835754,United States of America
1920,1921,Bank of Nagoya,Q11415284,Japan
1921,1922,Grupo De Inversiones Suramericana,,
1922,1923,CPI Property Group.,,
1923,1924,IBERIABANK,Q5968523,United States of America
1924,1925,Sino Land,Q698504,
1925,1926,China Petroleum Engineering,Q55607395,
