,rank,name,q,country
219,220,Oil & Natural Gas,Q42962,
220,221,Dai-ichi Life Insurance,Q595475,Japan
221,222,Thermo Fisher Scientific,Q643674,United States of America
222,223,Aflac,Q26311,
223,224,Allstate,Q2645636,United States of America
224,225,Hyundai Motor,Q55931,South Korea
225,226,Travelers,Q22813352,
226,227,ENGIE,Q13416787,France
227,228,Mondelez International,Q12857502,United States of America
228,229,Suncor Energy,Q1516410,Canada
229,230,Hitachi,Q53238,Japan
230,231,Nordea Bank,Q1123823,Finland
231,232,Aviva,Q791179,United Kingdom
232,233,Target,Q1046951,United States of America
233,234,Lowe's,Q1373493,United States of America
234,235,General Dynamics,Q502940,United States of America
235,236,Repsol,Q174747,Spain
236,237,AstraZeneca,Q731938,United Kingdom
237,238,Eli Lilly,Q2984214,
238,239,Continental,Q174769,United States of America
239,240,Charles Schwab,Q1066028,
240,241,National Grid,Q1465461,United Kingdom
241,242,Progressive,Q350611,
242,243,Tesco,Q487494,United Kingdom
243,244,Danone,Q329426,Spain
244,245,Poly Developments & Holdings Group,Q577166,People's Republic of China
245,246,Volvo Group,Q163810,Sweden
246,247,HCA Healthcare,,
247,248,Accenture,Q338825,Ireland
248,249,Central Japan Railway,Q513679,Japan
249,250,East Japan Railway,Q499071,Japan
250,251,China Unicom,Q1068485,People's Republic of China
251,252,Schneider Electric,Q49053,France
252,253,Midea Group,Q2609533,People's Republic of China
253,254,KBC Group,Q29560723,Belgium
254,255,McDonald's,Q38076,United States of America
255,256,Denso,Q176508,Japan
256,257,JXTG Holdings,Q128577,Japan
257,258,Fresenius,Q29841530,
258,259,BB&T,Q244,Barbados
259,260,Gree Electric Appliances,Q1544535,People's Republic of China
260,261,Anglo American,Q541451,United Kingdom
261,262,Møller-Maersk,,
262,263,E.ON,Q3045727,United Kingdom
263,264,MS&AD Insurance,Q1494,United States of America
264,265,Huaxia Bank,Q1595443,People's Republic of China
265,266,Bristol-Myers Squibb,Q266423,United States of America
266,267,China Resources Land,Q5099887,People's Republic of China
267,268,Air Liquide,Q407448,France
268,269,EDF,Q274591,France
269,270,Baoshan Iron & Steel,Q12195289,
270,271,Danaher,Q21431228,
271,272,Legal & General Group,Q105210,
272,273,EXOR,Q498186,
273,274,Sun Life Financial,Q835456,Canada
274,275,BT Group,Q593786,United Kingdom
275,276,KB Financial Group,Q12581339,South Korea
276,277,Northrop Grumman,Q329953,United States of America
277,278,Seven & I Holdings,Q23350,
278,279,HP,Q1177,India
279,280,Nike,Q483915,United States of America
280,281,Shinhan Financial Group,Q491325,
281,282,ABB,Q52825,Switzerland
282,283,Diageo,Q161140,United Kingdom
283,284,Bank of Beijing,Q39146,People's Republic of China
284,285,CNP Assurances,Q1023930,
285,286,Japan Tobacco,Q898568,Japan
286,287,Oversea-Chinese Banking,Q2042423,
287,288,Indian Oil,Q1289348,India
288,289,Inditex,Q44504,
289,290,Dominion Resources,Q677464,
290,291,Sumitomo,Q2365236,
291,292,Occidental Petroleum,Q2013357,United States of America
292,293,Reckitt Benckiser Group,Q1190881,United Kingdom
293,294,CRRC,Q19840026,People's Republic of China
294,295,Cathay Financial,Q10926936,
295,296,Kroger,Q153417,United States of America
296,297,Baidu,Q14772,People's Republic of China
297,298,Panasonic,Q833266,
298,299,Johnson Controls International,Q52853530,Czech Republic
299,300,Ecopetrol,Q1282130,Colombia
300,301,Canon,Q1104153,
301,302,Royal Ahold Delhaize N.V.,,
302,303,Jardine Matheson,Q1683452,
303,304,Raytheon,Q156644,United States of America
304,305,Sunac China Holdings,Q13410248,People's Republic of China
305,306,United Continental Holdings,Q871700,United States of America
306,307,United Overseas Bank,Q2064074,
307,308,Nippon Steel,Q651282,Japan
308,309,LyondellBasell Industries,Q899255,Netherlands
309,310,Qualcomm,Q544847,United States of America
310,311,Safran,Q1886126,France
311,312,Carnival,Q4618,
312,313,SK Holdings,Q494136,South Korea
313,314,State Street,Q2037125,United States of America
314,315,Orix,Q906055,Japan
315,316,Celgene,Q842947,United States of America
316,317,American Electric,Q4743668,United States of America
317,318,PayPal,Q483959,United States of America
318,319,EOG Resources,Q1275577,
319,320,Greenland Holdings Group,,
320,321,LafargeHolcim,Q16466481,Switzerland
321,322,Henkel,Q1605280,
322,323,Posco,Q483946,South Korea
323,324,Natixis,Q571156,France
324,325,Mitsubishi Electric,Q53257,Japan
325,326,Bridgestone,Q179433,Japan
326,327,Archer Daniels Midland,Q632694,United States of America
327,328,Sun Hung Kai Properties,Q1789188,
328,329,Toshiba,Q49125,Japan
329,330,Surgutneftegas,Q680776,Russia
330,331,Poste Italiane,Q495026,Italy
331,332,HDFC,Q1563020,
332,333,First Abu Dhabi Bank,Q29124183,
333,334,Mastercard,Q489921,United States of America
334,335,Kinder Morgan,Q931032,
335,336,New China Life Insurance,Q11084240,People's Republic of China
336,337,DNB,Q27302,Germany
337,338,SunTrust Banks,Q181507,United States of America
338,339,Danske Bank,Q1636974,Denmark
339,340,Discover Financial Services,Q5281775,United States of America
340,341,BCE,Q46202,
341,342,Canadian Natural Resources,Q1032229,Canada
342,343,CaixaBank,Q847225,Spain
343,344,CSX,Q856783,United States of America
344,345,Longfor Group Holdings,,
345,346,TransCanada,Q7833607,
346,347,Bank Of Shanghai,Q4208351,People's Republic of China
347,348,Macquarie Group,Q1200904,Australia
348,349,Fubon Financial,Q4207171,
349,350,Marubeni,Q553927,Japan
350,351,Starbucks,Q37158,United States of America
351,352,Fannie Mae,Q621096,United States of America
352,353,Samsung Life Insurance,Q624080,
353,354,Tyson Foods,Q1325987,United States of America
354,355,Becton Dickinson,Q813780,United States of America
355,356,Automatic Data Processing,Q489080,
356,357,Humana,Q15121208,Mexico
357,358,Standard Chartered,Q548278,United Kingdom
358,359,Imperial Brands,Q1471161,United Kingdom
359,360,Richemont,Q22286,France
360,361,Eaton,Q5331334,
361,362,Kering,Q931207,France
362,363,Bank Rakyat Indonesia (BRI),,
363,364,Couche Tard,Q2998654,
364,365,Saudi Telecom,Q1535171,Saudi Arabia
365,366,Stryker,Q612829,
366,367,Freddie Mac,Q935969,United States of America
367,368,Daiwa House Industry,Q913825,Japan
368,369,Heineken,Q180855,Netherlands
369,370,Booking Holdings,Q18674747,
370,371,NN Group,Q1834291,
371,372,Ameriprise Financial,Q2843129,United States of America
372,373,American Airlines Group,Q4742937,United States of America
373,374,Tata Consultancy Services,Q13227919,India
374,375,Mitsui Fudosan,Q1812986,Japan
375,376,Novo Nordisk,Q818846,Denmark
376,377,Takeda Pharmaceutical,Q899133,Japan
377,378,Maybank,Q1364018,Malaysia
378,379,China Merchants Shekou Industrial Zone Holdings,Q30326165,People's Republic of China
379,380,Norfolk Southern,Q7051100,
380,381,Power Construction Corporation of China,Q10873928,People's Republic of China
381,382,Michelin Group,,
382,383,EssilorLuxottica,Q56853086,France
383,384,Etisalat,Q543449,United Arab Emirates
384,385,CRH,Q33357,Ukraine
385,386,Lincoln National,Q6550881,United States of America
386,387,Transneft,Q2116312,Russia
387,388,Canadian National Railway,Q624798,Canada
388,389,General Electric,Q54173,United States of America
389,390,Hyundai Mobis,Q497534,South Korea
390,391,Erste Group Bank,Q1310001,Austria
391,392,Swiss Life Holding,Q667350,
392,393,ASML Holding,Q297879,Netherlands
393,394,Komatsu,Q646898,Japan
394,395,Suzuki Motor,Q181642,Japan
395,396,TJX Cos,,
396,397,Power Corp of Canada,,
397,398,Southwest Airlines,Q503308,United States of America
398,399,Telstra,Q721162,Australia
399,400,ICICI Bank,Q1653258,India
400,401,Freeport-McMoRan,Q1453620,United States of America
401,402,Texas Instruments,Q193412,United States of America
402,403,Sompo,Q1001517,Poland
403,404,Principal Financial Group,Q3403513,United States of America
404,405,OMV Group,Q168238,Austria
405,406,Shin-Etsu Chemical,Q904284,Japan
406,407,Anhui Conch Cement,Q545565,People's Republic of China
407,408,Hartford Financial Services,Q444110,United States of America
408,409,SingTel,Q864923,Singapore
409,410,CVS Health,Q624375,United States of America
410,411,Marriott International,Q1141173,United States of America
411,412,AmerisourceBergen,Q470156,
