1029,Hengli Petrochemical
1030,ALFA
1031,Shanghai Construction
1032,Qatar Islamic Bank
1033,CJ Cheiljedang
1034,Turkish Airlines
1035,Thomson Reuters
1036,Investor AB
1037,Adecco
1038,Rockwell Automation
1039,Moody's
1040,Datang International Power
1041,Accor
1042,IndusInd Bank
1043,Intact Financial
1044,J Sainsbury
1045,Thai Beverage
1046,Yamaha Motor
1047,Cintas
1048,Beijing Enterprises
1049,Gallagher
1050,Continental Resources
1051,Daito Trust Construction
1052,China Shipbuilding Industry
1053,Shin Kong Financial
1054,BBMG
1055,MediaTek
1056,Onex
1057,Tokyu
1058,WellCare Health Plans
1059,Mitsubishi UFJ Lease
1060,Celanese
1061,Hesteel
1062,Interactive Brokers Group
1063,Sumitomo Metal Mining
1064,Japan Exchange Group
1065,Mohawk Industries
1066,Sojitz
1067,Investec
1068,NetApp
1069,Yum China Holdings
1070,Melrose Industries Plc
1071,Universal Health
1072,Gecina
1073,Restaurant Brands International
1074,Dexia
1075,Norwegian Cruise Line Holdings
1076,Sika
1077,Zhejiang Zheneng Electric Power
1078,Singapore Airlines
1079,Technipfmc
1080,BCI-Banco Credito
1081,SDIC Power Holdings
1082,Dassault Aviation
1083,First Financial Holding
1084,Barrick Gold
1085,Shimizu
1086,Vistra Energy
1087,Invesco
1088,Mosaic
1089,Oi
1090,Jiangsu Yanghe Brewery
1091,Klepierre
1092,SM Investments
1093,Harris
1094,Agilent Technologies
1095,Altice Europe
1096,Joint Stock Commercial Bank for Foreign Trade of Vietnam
1097,Kyushu Electric Power
1098,Markel
1099,Welltower
1100,Twitter
1101,Kerry Group
1102,Angang Steel
1103,Hoya
1104,Illumina
1105,Mondi
1106,Steel Dynamics
1107,Bajaj Finserv
1108,Boston Properties
1109,Insurance Australia Group
1110,American Water Works
1111,Goodyear
1112,Banco de Sabadell
1113,Knorr-Bremse
1114,Annaly Capital Management
1115,Helvetia Holding
1116,LG Display
1117,Harbin Bank
1118,Alinma Bank
1119,Grupo Inbursa
1120,AGL Energy
1121,E.Sun Financial
1122,Paychex
1123,AerCap Holdings
1124,Rongsheng Petrochemical
1125,Bunge
1126,Meiji Holdings
1127,Bankinter
1128,Westlake Chemical
1129,Grifols
1130,KLA-Tencor
1131,Monster Beverage
1132,Darden Restaurants
1133,Ferrovial
1134,Encana
1135,Taiwan Cooperative Financial
1136,Industries Qatar
1137,Clorox
1138,Lonza Group
1139,Hankyu Hanshin Holdings
1140,Ternium
1141,Tohoku Electric Power
1142,BorgWarner
1143,Attijariwafa Bank
1144,Ulta Beauty
1145,CIFI Holdings Group
1146,Samsung SDS
1147,Molina Healthcare
1148,Saudi Arabian Mining
1149,Interpublic Group
1150,Skanska
1151,Amcor
1152,Guosen Securities
1153,SGS
1154,Tokyo Century
1155,Evergy
1156,PVH
1157,Host Hotels & Resorts
1158,Saputo
1159,Whirlpool
1160,TransDigm Group
1161,Kobe Steel
1162,Voestalpine
1163,Aramark
1164,China Galaxy Securities
1165,China International Marine
1166,CJ Corporation
1167,Jeronimo Martins
1168,Terna
1169,PulteGroup
1170,China Development Financial
1171,China Resources Power
1172,Bank Pekao
1173,Covivio
1174,Oriental Land
1175,Xilinx
1176,Schroders
1177,Wynn Resorts
1178,Bank of Tianjin
1179,GD Power Development
1180,Equinix
1181,UBI Banca
1182,Cosmo Energy Holdings
1183,UCB
1184,3i Group
1185,Yara International
1186,GAIL India
1187,Givaudan
1188,Hyundai Steel
1189,Inter Rao
1190,Ferrari
1191,Industrial Alliance Insurance
1192,Vienna Insurance Group
1193,Petronas Chemicals
1194,Terumo
1195,Newmont Mining
1196,Masco
1197,Ricoh
1198,Top Frontier Investment Holdings
1199,Punjab National Bank
1200,Edwards Lifesciences
1201,Pegatron
1202,Indorama Ventures
1203,Bank Of Guiyang
1204,S-Oil
1205,Arkema
1206,Airports of Thailand
1207,NRG Energy
1208,Dassault Systemes
1209,Experian
1210,US Steel
1211,Advanced Info Service
1212,Expeditors International
1213,Jiangsu Hengrui Medicine
1214,Hess
1215,HAL Trust
1216,LG Household & Health Care
1217,Grasim Industries
1218,Phoenix Group Holdings
1219,Assa Abloy
1220,Charoen Pokphand Foods
1221,Worldpay
1222,Yuanta Financial Holding
1223,Concordia Financial Group
1224,SKF Group
1225,Genworth Financial
1226,Bank of Baroda
1227,Jiangxi Copper
1228,Bank of Changsha
1229,China Mengniu Dairy
1230,Grupo Elektra
1231,HCP
1232,Equity Residential
1233,Shionogi
1234,Foshan Haitian Flavouring and Food
1235,Quest Diagnostics
1236,Ayala
1237,China International Capital
1238,Magnitogorsk Iron & Steel
1239,Ashtead Group
1240,Bank Of Chengdu
1241,Brown-Forman
1242,Hunan Valin Steel
1243,Delta Electronics
1244,East West Bancorp
1245,New Residential Investment
1246,Fastenal
1247,Power Finance
1248,Henry Schein
1249,FleetCor Technologies
1250,Hexagon
1251,Dai Nippon Printing
1252,Metro Group
1253,Goodman Group
1254,Torchmark
1255,Ctrip.com International
1256,China Life Insurance (Taiwan)
1257,McCormick
1258,Storebrand
1259,HNA Technology
1260,Apache
1261,Brenntag
1262,RSA Insurance Group
1263,NVR
1264,Skyworks Solutions
1265,China International Travel Service
1266,Johnson Matthey
1267,Hua Nan Financial
1268,Huntington Ingalls Industries
1269,Unicharm
1270,China Molybdenum
1271,Yango Group
1272,Wolters Kluwer
1273,Hyundai Marine & Fire
1274,Umicore
1275,Waste Connections
1276,Sino-Ocean Group Holding
1277,AGNC Investment
1278,Signature Bank
1279,Cerner
1280,Huadian Power International
1281,Power Assets Holdings
1282,Ahli United Bank
1283,Qantas Airways
1284,Ametek
1285,Cathay Pacific Airways
1286,LKQ
1287,LARGAN Precision
1288,X5 Retail Group
1289,Canara Bank
1290,Digital Realty Trust
1291,Crown Holdings
1292,Doosan
1293,Valeant Pharmaceuticals
1294,Transurban Group
1295,Mitsui Chemicals
1296,Maanshan Iron & Steel
1297,Jacobs Engineering
1298,Partners Group Holding
1299,AVIC Capita
1300,Focus Media Information Technology
1301,Koito Manufacturing
1302,Check Point Software
1303,Quinenco
1304,Leidos
1305,Dover
1306,Grupo Bimbo
1307,Sino Biopharmaceutical
1308,Everest Re Group
1309,Jinke Property Group
1310,Bombardier
1311,L Brands
1312,Wuestenrot & Wuerttembergische
1313,DaVita
1314,Ventas
1315,Coca-Cola HBC
1316,Tenet Healthcare
1317,Metro
1318,Bluescope Steel
1319,Hyundai Heavy Industries
1320,Techtronic Industries
1321,Fukuoka Financial Group
1322,Tractor Supply
1323,National Oilwell Varco
1324,Shanxi Taigang Stainless
1325,Shinsei Bank
1326,Lotte Shopping
1327,Alrosa
1328,Fidelity National Financial
1329,RTL Group
1330,Manpower
1331,Navient
1332,Banco BPM
1333,Chow Tai Fook Jewellery
1334,Bank of India
1335,Liberty Expedia Holdings
1336,Shenzhou International Group Holdings
1337,Bunzl
1338,US Foods
1339,Chugoku Electric Power
1340,Contemporary Amperex Technology
1341,Emera
1342,KION Group
1343,Daishi Hokuetsu Financial Group
1344,RHB Bank
1345,Nordstrom
1346,Yamato Holdings
1347,Chesapeake Energy
1348,NARI Technology Development
1349,Santos
1350,Eisai
1351,Electric Power Development
1352,Targa Resources
1353,Keppel
1354,Advance Auto Parts
1355,Bank of Chongqing
1356,Popular
1357,Zhongsheng Group Holdings
1358,IHS Markit
1359,Campbell Soup
1360,Microchip Technology
1361,Coloplast
1362,STRABAG
1363,Chiba Bank
1364,Colruyt
1365,Brambles
1366,Hydro One
1367,Verisk Analytics
1368,Oji Holdings
1369,Greentown China Holdings
1370,Magnit
1371,Osaka Gas
1372,Segro
1373,Alleghany
1374,Olam International
1375,Bohai Leasing
1376,Jones Lang LaSalle
1377,Smith & Nephew
1378,J.B. Hunt Transport Services
1379,Medipal Holdings
1380,360 Security Technology
1381,Coty
1382,VeriSign
1383,St. James's Place
1384,Barratt Developments
